stable_id,parent_stable_id,title,subject,stage,standard_version,authority,standard_section,requirement_type,behavior_verb,ability_dimensions,source_material_ids,evidence_locations,knowledge_stable_ids,review_status,production_eligible,notes
CSPHY-CAND-001,,物理观念,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,解释;解决,APHY-CAND-002,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p7 section 三-一-1,KPHY-CAND-001;KPHY-CAND-002;KPHY-CAND-003,pending_review,false,candidate only
CSPHY-CAND-002,,科学思维,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,建构;推理;论证;质疑,APHY-CAND-002,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p7-p8 section 三-一-2,KPHY-CAND-023;KPHY-CAND-025,pending_review,false,candidate only
CSPHY-CAND-003,,科学探究,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,提出;设计;获取;解释;交流,APHY-CAND-003;APHY-CAND-004,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p8 section 三-一-3,KPHY-CAND-004;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-004,,科学态度与责任,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,认识;保护;遵守;推动,APHY-CAND-004,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p8 section 三-一-4,KPHY-CAND-005;KPHY-CAND-019,pending_review,false,candidate only
CSPHY-CAND-005,KPHY-CAND-006,物态变化过程中的吸热和放热现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-物质-1.1.3,content_requirement,经历;知道;了解;说明,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p12 section 1.1.3,KPHY-CAND-006,pending_review,false,candidate only
CSPHY-CAND-006,KPHY-CAND-007,通过实验理解密度并会测量密度,physics,junior_middle_school,2022年版2025年修订,教育部,四-物质-1.2.3,content_requirement,通过实验;理解;测量;解释,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p13 section 1.2.3,KPHY-CAND-007;KPHY-CAND-020,pending_review,false,candidate only
CSPHY-CAND-007,KPHY-CAND-009,测量长度时间并根据生活经验估测,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.2.1,content_requirement,会;估测,APHY-CAND-001,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p18 section 2.2.1,KPHY-CAND-009;KPHY-CAND-020,pending_review,false,candidate only
CSPHY-CAND-008,KPHY-CAND-010,了解重力弹力摩擦力和力的作用效果,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.2.3,content_requirement,了解;认识;探究,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p18 section 2.2.3,KPHY-CAND-010;KPHY-CAND-024,pending_review,false,candidate only
CSPHY-CAND-009,KPHY-CAND-010,认识牛顿第一定律并用惯性解释现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.2.5,content_requirement,认识;运用;解释,APHY-CAND-002,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p18-p19 section 2.2.5,KPHY-CAND-010,pending_review,false,candidate only
CSPHY-CAND-010,KPHY-CAND-015,探究并了解杠杆平衡条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.2.6,content_requirement,知道;探究;了解,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p19 section 2.2.6,KPHY-CAND-015;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-011,KPHY-CAND-011,通过实验理解压强及其应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.2.7,content_requirement,通过实验;理解;知道;应用,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p19 section 2.2.7,KPHY-CAND-011,pending_review,false,candidate only
CSPHY-CAND-012,KPHY-CAND-011,认识浮力和阿基米德原理,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.2.9,content_requirement,认识;探究;知道;说明,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p19-p20 section 2.2.9,KPHY-CAND-011;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-013,KPHY-CAND-012,了解声音的特性和噪声控制,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.3.2,content_requirement,了解;知道;举例,APHY-CAND-001;APHY-CAND-002,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p20 section 2.3.2,KPHY-CAND-012,pending_review,false,candidate only
CSPHY-CAND-014,KPHY-CAND-013,探究凸透镜成像规律及应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.3.5,content_requirement,了解;探究;应用,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p20-p21 section 2.3.5,KPHY-CAND-013;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-015,KPHY-CAND-014,探究电磁感应产生感应电流的条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.4.5,content_requirement,探究;了解;应用,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p21-p22 section 2.4.5,KPHY-CAND-014;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-016,KPHY-CAND-014,知道电磁波及其应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-运动和相互作用-2.4.6,content_requirement,知道;了解;举例,APHY-CAND-001;APHY-CAND-002,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p22 section 2.4.6,KPHY-CAND-014,pending_review,false,candidate only
CSPHY-CAND-017,KPHY-CAND-016,通过实验了解比热容,physics,junior_middle_school,2022年版2025年修订,教育部,四-能量-3.3.2,content_requirement,通过实验;了解;说明,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p26 section 3.3.2,KPHY-CAND-016;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-018,KPHY-CAND-017,探究电流与电压电阻关系并理解欧姆定律,physics,junior_middle_school,2022年版2025年修订,教育部,四-能量-3.4.2,content_requirement,知道;探究;理解,APHY-CAND-002;APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p27 section 3.4.2,KPHY-CAND-017;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-019,KPHY-CAND-018,了解家庭电路并有安全用电意识,physics,junior_middle_school,2022年版2025年修订,教育部,四-能量-3.4.7,content_requirement,了解;意识,APHY-CAND-002;APHY-CAND-004,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p27 section 3.4.7,KPHY-CAND-018,pending_review,false,candidate only
CSPHY-CAND-020,KPHY-CAND-019,列举可再生和不可再生能源并体会可持续发展,physics,junior_middle_school,2022年版2025年修订,教育部,四-能量-3.6,content_requirement,列举;知道;体会,APHY-CAND-001;APHY-CAND-004,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p28 section 3.6.1-3.6.3,KPHY-CAND-019,pending_review,false,candidate only
CSPHY-CAND-021,KPHY-CAND-020,用电流表和电压表测量电阻,physics,junior_middle_school,2022年版2025年修订,教育部,四-实验探究-4.1.9,content_requirement,测量,APHY-CAND-003,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p32 section 4.1.9,KPHY-CAND-017;KPHY-CAND-020,pending_review,false,candidate only
CSPHY-CAND-022,KPHY-CAND-021,探究电流与电压电阻的关系,physics,junior_middle_school,2022年版2025年修订,教育部,四-实验探究-4.2.12,content_requirement,探究;分析;得出,APHY-CAND-003;APHY-CAND-001,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p33-p34 section 4.2.12,KPHY-CAND-017;KPHY-CAND-021,pending_review,false,candidate only
CSPHY-CAND-023,KPHY-CAND-005,分析日常生活中的安全问题并提出方案,physics,junior_middle_school,2022年版2025年修订,教育部,四-跨学科实践-5.1.2,content_requirement,分析;提出;践行,APHY-CAND-002;APHY-CAND-004,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p37 section 5.1.2,KPHY-CAND-005;KPHY-CAND-018,pending_review,false,candidate only
CSPHY-CAND-024,KPHY-CAND-005,调查物理学应用于工程技术的案例,physics,junior_middle_school,2022年版2025年修订,教育部,四-跨学科实践-5.2.2,content_requirement,调查;体会,APHY-CAND-001;APHY-CAND-002,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,p38 section 5.2.2,KPHY-CAND-005,pending_review,false,candidate only
