mapping_id,source_asset_type,source_stable_id,target_asset_type,target_stable_id,mapping_type,confidence,source_material_ids,evidence_locations,impact_scope,review_status,auto_apply_allowed,rollback_required,notes
MAP-CAND-001,textbook_chapter,TBPHY-CAND-002,knowledge_point,KPHY-CAND-009,broader,0.94,textbook-2024-019-bdc2aa9b,目录p5 第一章机械运动,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-002,textbook_chapter,TBPHY-CAND-003,knowledge_point,KPHY-CAND-012,broader,0.94,textbook-2024-019-bdc2aa9b,目录p5 第二章声现象,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-003,textbook_chapter,TBPHY-CAND-004,knowledge_point,KPHY-CAND-006,broader,0.94,textbook-2024-019-bdc2aa9b,目录p5 第三章物态变化,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-004,textbook_chapter,TBPHY-CAND-005,knowledge_point,KPHY-CAND-013,broader,0.90,textbook-2024-019-bdc2aa9b,目录p6 第四章光现象,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-005,textbook_chapter,TBPHY-CAND-006,knowledge_point,KPHY-CAND-013,broader,0.90,textbook-2024-019-bdc2aa9b,目录p6 第五章透镜及其应用,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-006,textbook_chapter,TBPHY-CAND-007,knowledge_point,KPHY-CAND-007,broader,0.94,textbook-2024-019-bdc2aa9b,目录p6 第六章质量与密度,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-007,textbook_chapter,TBPHY-CAND-009,knowledge_point,KPHY-CAND-010,broader,0.90,textbook-2024-020-9b1c6f8b,目录p4 第七章力,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-008,textbook_chapter,TBPHY-CAND-010,knowledge_point,KPHY-CAND-010,broader,0.94,textbook-2024-020-9b1c6f8b,目录p4 第八章运动和力,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-009,textbook_chapter,TBPHY-CAND-011,knowledge_point,KPHY-CAND-011,broader,0.94,textbook-2024-020-9b1c6f8b,目录p4 第九章压强,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
MAP-CAND-010,textbook_chapter,TBPHY-CAND-012,knowledge_point,KPHY-CAND-011,broader,0.92,textbook-2024-020-9b1c6f8b,目录p5 第十章浮力,textbook_alignment,pending_review,false,true,candidate only; original_mapping_type=related; treated as broader candidate alignment for DB constraint compatibility; keep pending_review
