question_id,year,paper_id,source_file,question_number,question_type,score,page_or_location,stem_summary,primary_knowledge_id,secondary_knowledge_ids,primary_exam_point_id,secondary_exam_point_ids,ability_dimensions,curriculum_item_ids,textbook_node_ids,answer_source_id,year_report_source_id,confidence,extracted_by,review_status,production_eligible,notes
QPHY-C003-2016-01,2016,SRC-C003-005,2016广州中考.pdf,1,choice,3,真题p1,1.历史上把图 1 示意的长度定为 1 英寸.1 英寸约为 … 名 A.,KPHY-C003-025,,EPHY-C003-001,EPHY-C003-040,信息提取;科学推理,CS-C003-2-2-1;CS-C003-4-1-4,TBPHY-C003-002;TBPHY-C003-003,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-02,2016,SRC-C003-005,2016广州中考.pdf,2,choice,3,真题p1,2.琴弦 H 比琴弦 L 每秒内振动次数多，推断此时 H 比 L 发出的声音 … 装… A.音调高 B.音调低 C.响度大 D.响度小 …,KPHY-C003-037,,EPHY-C003-003,,信息提取;科学推理,CS-C003-2-3-2,TBPHY-C003-007;TBPHY-C003-009;TBPHY-C003-010;TBPHY-C003-011,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-03,2016,SRC-C003-005,2016广州中考.pdf,3,choice,3,真题p1,3.上层的粒子由下层的粒子构成，下列选项中正确描述物质结构的是 … … … … 原子 原子核 原子核 原子 … … … 电子 原子核 电子 原子 电子 中子 原子核 分子 … … A. B. C. D. … … …,KPHY-C003-017,,EPHY-C003-011,,科学推理,CS-C003-1-3-1,TBPHY-C003-083,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-04,2016,SRC-C003-005,2016广州中考.pdf,4,choice,3,真题p1,4.使用蓝牙耳机接听手机来电，信号传输示意图如图 2. 蓝牙通信的电磁波 ： … 号 … A.是蓝光 生 … B.波长比手机通信的电磁波短 … 考 … C.在真空中传播速度为 340m/s … D.在真空中传播速度比手机通信的电磁波小 线… … … 108 1010 1012 1014 频率/Hz … … … 可 见 … 无 电 波 红外线 光 … 基地台 … 手机 蓝牙耳机 … 频率0.8~0.9×109Hz 频率2.4~2.48×109Hz … 手机通信 蓝牙通信 … 图 2,KPHY-C003-017,,EPHY-C003-011,EPHY-C003-030;EPHY-C003-003;EPHY-C003-001,科学推理,CS-C003-1-3-1,TBPHY-C003-083,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-05,2016,SRC-C003-005,2016广州中考.pdf,5,choice,3,真题p2,5.图 3 所示，电源两端电压恒定.闭合开关，灯泡 L 比灯泡 L 亮，则 1 2 A.L 的电阻比 L 的大 1 2 B.L 两端电压比 L 大 1 2 C.若 L 灯丝烧断，L 两端电压不变 1 2 D.若 L 灯丝烧断，通过 L 电流变大 2 1 - + - + L - + 1 - + - + 带负电 - 带正电 + L 2 绝缘线 绝缘线 电 源 图 3 图 4,KPHY-C003-065,,EPHY-C003-031,EPHY-C003-034;EPHY-C003-035;EPHY-C003-040,模型建构;科学推理,CS-C003-3-4-4;CS-C003-4-2-11,TBPHY-C003-090;TBPHY-C003-092;TBPHY-C003-093;TBPHY-C003-095,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-06,2016,SRC-C003-005,2016广州中考.pdf,6,choice,3,真题p2,6.图4所示，无风条件下卡通造型的铝箔气球两次均向带电棒靠近但未接触，气球 A．不带电 B．带正电 C．带负电 D．带电情况无法判断,KPHY-C003-043,,EPHY-C003-012,EPHY-C003-040,科学推理,CS-C003-2-4-1,TBPHY-C003-090;TBPHY-C003-091,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-07,2016,SRC-C003-005,2016广州中考.pdf,7,choice,3,真题p2,7.下列说法正确的是 A.内燃机是利用电能做功的机械 B.内燃机在做功冲程把内能转化为机械能 C.内燃机在压缩冲程把内能转化为机械能 D.随着技术的进步，内燃机的效率能达到 100％,KPHY-C003-059,,EPHY-C003-008,EPHY-C003-010;EPHY-C003-015;EPHY-C003-017,科学推理,CS-C003-3-3-1,TBPHY-C003-084,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-08,2016,SRC-C003-005,2016广州中考.pdf,8,choice,3,真题p2,8.将杯中的液态氮（沸点为-196℃）倒入盛有奶浆的碗制作冰淇淋.观察到杯中液态氮沸腾， 杯外壁出现白霜，则 A.杯中液态氮放热 B.杯中液态氮温度不断上升 C.杯中液态氮不断吸热，温度保持-196℃ D.白霜是空气中水蒸气液化形成的 图 5 所示，水平地面 O 点两侧粗糙程度不同，物体一直受到沿水平方向 3N 的力F.物体经过 M 点开始计时，每经过相同时间，用虚线框记录物体的位置.物体在 M O 段做匀速直线运动.完成,KPHY-C003-005,,EPHY-C003-005,EPHY-C003-006;EPHY-C003-014;EPHY-C003-015,科学推理,CS-C003-1-1-3,TBPHY-C003-013;TBPHY-C003-015,SRC-C003-006,SRC-C003-007,0.86,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-09,2016,SRC-C003-005,2016广州中考.pdf,9,choice,3,真题p2,9. 物体在 A.OQ 段做匀速直线运动 B.MN 段的速度大于 OP 段的 C.MN 段受到的摩擦力为 3N D.OQ 段受到摩擦力大小等于 F,KPHY-C003-026,,EPHY-C003-002,EPHY-C003-014;EPHY-C003-015;EPHY-C003-040,信息提取;数学运算,CS-C003-2-2-2;CS-C003-4-1-5,TBPHY-C003-002;TBPHY-C003-005;TBPHY-C003-006,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
QPHY-C003-2016-10,2016,SRC-C003-005,2016广州中考.pdf,10,choice,3,真题p3,10.F 在 MN、OP 段做功分别为 W 、W ，功率分别为 P 、P ，则 MN OP MN OP A.W <W B.W >W C.P >P D.P <P MN OP MN OP MN OP MN OP,KPHY-C003-027,,EPHY-C003-015,EPHY-C003-018,科学推理;数学运算,CS-C003-2-2-3;CS-C003-4-1-6,TBPHY-C003-041;TBPHY-C003-043;TBPHY-C003-044;TBPHY-C003-045,SRC-C003-006,SRC-C003-007,0.76,chatgpt_web,pending_review,false,candidate full question row; stem repaired from verified source region
