stable_id,parent_stable_id,level,title,node_type,subject,stage,grade_or_scope,source_material_ids,evidence_locations,curriculum_refs,local_exam_refs,draft_mapping_code,mapping_type,mapping_confidence,review_status,review_owner,production_eligible,notes
KPHY-CAND-001,,1,物质,module,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p11 表1,CSPHY-CAND-005;CSPHY-CAND-006,,CS-THEME-1→KPHY-CAND-001,equivalent,0.95,pending_review,,false,candidate only
KPHY-CAND-006,KPHY-CAND-001,2,物态变化,topic,physics,junior_middle_school,8上;9全,物理教材八上（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八上目录p5 第三章;课标p12 section 1.1.3,CSPHY-CAND-005,EPHY-CAND-003,CS-1.1.3→KPHY-CAND-006,equivalent,0.94,pending_review,,false,candidate only
KPHY-CAND-007,KPHY-CAND-001,2,质量与密度,topic,physics,junior_middle_school,8上,物理教材八上（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八上目录p6 第六章;课标p13 section 1.2.2-1.2.3,CSPHY-CAND-006,EPHY-CAND-001,CS-1.2.3→KPHY-CAND-007,equivalent,0.94,pending_review,,false,candidate only
KPHY-CAND-008,KPHY-CAND-001,2,物质结构与物质世界尺度,topic,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p13-p14 section 1.3,CSPHY-CAND-001,EPHY-CAND-004,CS-1.3→KPHY-CAND-008,equivalent,0.90,pending_review,,false,candidate only
KPHY-CAND-002,,1,运动和相互作用,module,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p11 表1,CSPHY-CAND-007;CSPHY-CAND-008;CSPHY-CAND-013,,CS-THEME-2→KPHY-CAND-002,equivalent,0.95,pending_review,,false,candidate only
KPHY-CAND-009,KPHY-CAND-002,2,机械运动与速度,topic,physics,junior_middle_school,8上,物理教材八上（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八上目录p5 第一章;课标p18 section 2.2.1-2.2.2,CSPHY-CAND-007,EPHY-CAND-001,CS-2.2.1→KPHY-CAND-009,equivalent,0.94,pending_review,,false,candidate only
KPHY-CAND-010,KPHY-CAND-002,2,力与运动,topic,physics,junior_middle_school,8下,物理教材八下（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八下目录p4 第七章-第八章;课标p18-p19 section 2.2.3-2.2.5,CSPHY-CAND-008;CSPHY-CAND-009,EPHY-CAND-006,CS-2.2.3→KPHY-CAND-010,equivalent,0.93,pending_review,,false,candidate only
KPHY-CAND-011,KPHY-CAND-002,2,压强与浮力,topic,physics,junior_middle_school,8下,物理教材八下（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八下目录p4-p5 第九章-第十章;课标p19-p20 section 2.2.7-2.2.9,CSPHY-CAND-011;CSPHY-CAND-012,EPHY-CAND-007;EPHY-CAND-008,CS-2.2.7→KPHY-CAND-011,merge,0.90,pending_review,,false,candidate only
KPHY-CAND-012,KPHY-CAND-002,2,声现象,topic,physics,junior_middle_school,8上,物理教材八上（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八上目录p5 第二章;课标p20 section 2.3.1-2.3.2,CSPHY-CAND-013,EPHY-CAND-002,CS-2.3.2→KPHY-CAND-012,equivalent,0.94,pending_review,,false,candidate only
KPHY-CAND-013,KPHY-CAND-002,2,光现象与透镜,topic,physics,junior_middle_school,8上,物理教材八上（2024人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,八上目录p6 第四章-第五章;课标p20-p21 section 2.3.3-2.3.6,CSPHY-CAND-014,EPHY-CAND-009;EPHY-CAND-010,CS-2.3.5→KPHY-CAND-013,merge,0.90,pending_review,,false,candidate only
KPHY-CAND-014,KPHY-CAND-002,2,电和磁,topic,physics,junior_middle_school,9全,物理教材九全（2025秋.人教）(1).pdf;《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,九全目录p6 第二十章-第二十一章;课标p21-p22 section 2.4,CSPHY-CAND-015;CSPHY-CAND-016,EPHY-CAND-013,CS-2.4→KPHY-CAND-014,equivalent,0.93,pending_review,,false,candidate only
KPHY-CAND-003,,1,能量,module,physics,junior_middle_school,8-9,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,课标p11 表1;课标p24-p28,CSPHY-CAND-017;CSPHY-CAND-018;CSPHY-CAND-020,,CS-THEME-3→KPHY-CAND-003,equivalent,0.95,pending_review,,false,candidate only
