stable_id,parent_stable_id,level,title,node_type,subject,stage,grade_or_scope,source_material_ids,evidence_locations,curriculum_refs,local_exam_refs,draft_mapping_code,mapping_type,mapping_confidence,review_status,review_owner,production_eligible,notes
KPHY-C003-001,,1,物质,module,physics,junior_middle_school,8-9,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-002,KPHY-C003-001,2,物质的形态和变化,topic,physics,junior_middle_school,8上;9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-003,KPHY-C003-002,3,固态液态气态及物态特征,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-004,KPHY-C003-002,3,温度与温度计,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1-2,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-005,KPHY-C003-002,3,熔化和凝固,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-006,KPHY-C003-002,3,汽化和液化,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-007,KPHY-C003-002,3,升华和凝华,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1-3,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-008,KPHY-C003-002,3,水循环与水资源保护,concept,physics,junior_middle_school,8上,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-1-4,,,narrower,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-009,KPHY-C003-001,2,物质的属性,topic,physics,junior_middle_school,8上;8下;9全,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2,,,equivalent,0.90,pending_review,,false,candidate full knowledge node
KPHY-C003-010,KPHY-C003-009,3,弹性,concept,physics,junior_middle_school,8下,SRC-C003-001,课标p11及对应内容条目; 教材目录,CS-C003-1-2-1,,,narrower,0.90,pending_review,,false,candidate full knowledge node
