candidate_id,asset_type,stable_id,title,parent_stable_id,subject,stage,source_files,source_type,region,year,page_or_location,question_number,evidence_summary,suggested_mappings,confidence,extracted_by,review_status,production_eligible,notes
C002-CAND-001,knowledge_point,KPHY-CAND-001,物质,,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p11 表1,section 四-课程内容,课程内容框架列出物质一级主题及三个二级主题,CSPHY-CAND-005;CSPHY-CAND-006,0.95,chatgpt_web,pending_review,false,candidate only
C002-CAND-002,knowledge_point,KPHY-CAND-002,运动和相互作用,,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p11 表1,section 四-课程内容,课程内容框架列出运动和相互作用一级主题及四个二级主题,CSPHY-CAND-007;CSPHY-CAND-008;CSPHY-CAND-013,0.95,chatgpt_web,pending_review,false,candidate only
C002-CAND-003,knowledge_point,KPHY-CAND-003,能量,,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p11 表1,section 四-课程内容,课程内容框架列出能量一级主题及六个二级主题,CSPHY-CAND-017;CSPHY-CAND-018;CSPHY-CAND-020,0.95,chatgpt_web,pending_review,false,candidate only
C002-CAND-004,knowledge_point,KPHY-CAND-020,测量类学生必做实验,KPHY-CAND-004,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p31-p32,section 4.1,课标列出天平密度温度长度速度力电流电压电阻等测量实验,CSPHY-CAND-021,0.92,chatgpt_web,pending_review,false,candidate only
C002-CAND-005,knowledge_point,KPHY-CAND-021,探究类学生必做实验,KPHY-CAND-004,physics,junior_middle_school,《义务教育物理课程标准·日常修订版》(2022年版2025年修订)(2).pdf,curriculum_standard,China,2025,p32-p34,section 4.2,课标列出水沸腾摩擦力液体压强浮力杠杆光学电磁电路等探究实验,CSPHY-CAND-022,0.92,chatgpt_web,pending_review,false,candidate only
C002-CAND-006,exam_point,EPHY-CAND-001,生活情境中的估测与物理量单位,,physics,junior_middle_school,2016广州中考年报.pdf;2022广州中考.pdf;2025广州中考年报.pdf,local_exam_paper;exam_year_report,Guangzhou,2016-2025,2016年报p2;2022真题p1;2025年报p1,Q1;Q10,多年份以生活量估测和单位推断考查基础物理量,KPHY-CAND-009;KPHY-CAND-007,0.86,chatgpt_web,pending_review,false,candidate only
C002-CAND-007,exam_point,EPHY-CAND-002,声音特性与表格信息提取,,physics,junior_middle_school,2019广州中考.pdf;2024广州中考.pdf;2025广州中考.pdf,local_exam_paper,Guangzhou,2019-2025,2019真题p1;2024真题p1;2025真题p1,Q1;Q2;Q1,多年份使用频率和声强表格考查音调响度与信息提取,KPHY-CAND-012,0.84,chatgpt_web,pending_review,false,candidate only
C002-CAND-008,exam_point,EPHY-CAND-005,能源分类与能量转化效率,,physics,junior_middle_school,2021广州中考.pdf;2022广州中考.pdf;2024广州中考年报.pdf;2025广州中考年报.pdf,local_exam_paper;exam_year_report,Guangzhou,2021-2025,2021真题p1;2022真题p1-p2;2024年报p1-p2;2025年报p1-p2,Q1;Q3;Q3;Q11,太阳能热机能源分类和效率情境反复出现,KPHY-CAND-019;KPHY-CAND-016,0.86,chatgpt_web,pending_review,false,candidate only
C002-CAND-009,exam_point,EPHY-CAND-014,实验探究的数据图像表格处理,,physics,junior_middle_school,2021广州中考年报.pdf;2023广州中考年报.pdf;2024广州中考年报.pdf,exam_year_report,Guangzhou,2021-2024,2021年报p1-p2;2023年报p1-p2;2024年报p1-p2,section 试卷分析,年报明确强调信息提取图像表格实验探究和规范表达,KPHY-CAND-021;KPHY-CAND-025,0.90,chatgpt_web,pending_review,false,candidate only
C002-CAND-010,textbook_chapter,TBPHY-CAND-002,八年级上册 第一章 机械运动,TBPHY-CAND-001,physics,junior_middle_school,物理教材八上（2024人教）(1).pdf,textbook,China,2024,p5 目录,chapter 第一章,目录列出机械运动章及长度时间测量运动描述运动快慢速度测量,KPHY-CAND-009,0.96,chatgpt_web,pending_review,false,candidate only
C002-CAND-011,textbook_chapter,TBPHY-CAND-003,八年级上册 第二章 声现象,TBPHY-CAND-001,physics,junior_middle_school,物理教材八上（2024人教）(1).pdf,textbook,China,2024,p5 目录,chapter 第二章,目录列出声音产生传播声音特性声的利用噪声控制,KPHY-CAND-012,0.96,chatgpt_web,pending_review,false,candidate only
C002-CAND-012,textbook_chapter,TBPHY-CAND-011,八年级下册 第九章 压强,TBPHY-CAND-008,physics,junior_middle_school,物理教材八下（2024人教）(1).pdf,textbook,China,2024,p4 目录,chapter 第九章,目录列出压强液体压强大气压强流体压强与流速关系,KPHY-CAND-011,0.96,chatgpt_web,pending_review,false,candidate only
C002-CAND-013,textbook_chapter,TBPHY-CAND-020,九年级全一册 第十七章 欧姆定律,TBPHY-CAND-015,physics,junior_middle_school,物理教材九全（2025秋.人教）(1).pdf,textbook,China,2025,p5 目录,chapter 第十七章,目录列出电流与电压电阻关系欧姆定律电阻测量及应用,KPHY-CAND-017,0.96,chatgpt_web,pending_review,false,candidate only
