observation_id,year,question_id,question_number,source_material_ids,source_file,evidence_locations,official_exam_point_summary,difficulty_value,discrimination_value,option_distribution_summary,common_errors_summary,teaching_suggestion_summary,confidence,review_status,production_eligible,notes
YRO-C003-2016-01,2016,QPHY-C003-2016-01,1,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-02,2016,QPHY-C003-2016-02,2,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-03,2016,QPHY-C003-2016-03,3,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-04,2016,QPHY-C003-2016-04,4,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-05,2016,QPHY-C003-2016-05,5,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-06,2016,QPHY-C003-2016-06,6,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-07,2016,QPHY-C003-2016-07,7,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-08,2016,QPHY-C003-2016-08,8,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-09,2016,QPHY-C003-2016-09,9,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-10,2016,QPHY-C003-2016-10,10,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-11,2016,QPHY-C003-2016-11,11,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-12,2016,QPHY-C003-2016-12,12,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-13,2016,QPHY-C003-2016-13,13,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-14,2016,QPHY-C003-2016-14,14,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-15,2016,QPHY-C003-2016-15,15,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-16,2016,QPHY-C003-2016-16,16,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-17,2016,QPHY-C003-2016-17,17,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-18,2016,QPHY-C003-2016-18,18,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-19,2016,QPHY-C003-2016-19,19,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-20,2016,QPHY-C003-2016-20,20,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-21,2016,QPHY-C003-2016-21,21,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-22,2016,QPHY-C003-2016-22,22,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-23,2016,QPHY-C003-2016-23,23,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2016-24,2016,QPHY-C003-2016-24,24,SRC-C003-007,2016广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2017-01,2017,QPHY-C003-2017-01,1,SRC-C003-010,2017广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
YRO-C003-2017-02,2017,QPHY-C003-2017-02,2,SRC-C003-010,2017广州中考年报.pdf,年报全卷/逐题分析待人工定位,年报存在；自动逐题页码定位不足，需人工核验难度、区分度、学生错误和教学建议,,,,来源定位不足,来源定位不足,0.50,pending_review,false,candidate year-report observation
