mapping_id,source_asset_type,source_stable_id,target_asset_type,target_stable_id,mapping_type,confidence,source_material_ids,evidence_locations,impact_scope,review_status,auto_apply_allowed,rollback_required,notes
MAP-CAND-001,textbook_chapter,TBPHY-CAND-002,knowledge_point,KPHY-CAND-009,related,0.94,物理教材八上（2024人教）(1).pdf,目录p5 第一章机械运动,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-002,textbook_chapter,TBPHY-CAND-003,knowledge_point,KPHY-CAND-012,related,0.94,物理教材八上（2024人教）(1).pdf,目录p5 第二章声现象,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-003,textbook_chapter,TBPHY-CAND-004,knowledge_point,KPHY-CAND-006,related,0.94,物理教材八上（2024人教）(1).pdf,目录p5 第三章物态变化,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-004,textbook_chapter,TBPHY-CAND-005,knowledge_point,KPHY-CAND-013,related,0.90,物理教材八上（2024人教）(1).pdf,目录p6 第四章光现象,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-005,textbook_chapter,TBPHY-CAND-006,knowledge_point,KPHY-CAND-013,related,0.90,物理教材八上（2024人教）(1).pdf,目录p6 第五章透镜及其应用,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-006,textbook_chapter,TBPHY-CAND-007,knowledge_point,KPHY-CAND-007,related,0.94,物理教材八上（2024人教）(1).pdf,目录p6 第六章质量与密度,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-007,textbook_chapter,TBPHY-CAND-009,knowledge_point,KPHY-CAND-010,related,0.90,物理教材八下（2024人教）(1).pdf,目录p4 第七章力,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-008,textbook_chapter,TBPHY-CAND-010,knowledge_point,KPHY-CAND-010,related,0.94,物理教材八下（2024人教）(1).pdf,目录p4 第八章运动和力,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-009,textbook_chapter,TBPHY-CAND-011,knowledge_point,KPHY-CAND-011,related,0.94,物理教材八下（2024人教）(1).pdf,目录p4 第九章压强,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-010,textbook_chapter,TBPHY-CAND-012,knowledge_point,KPHY-CAND-011,related,0.92,物理教材八下（2024人教）(1).pdf,目录p5 第十章浮力,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-011,textbook_chapter,TBPHY-CAND-013,knowledge_point,KPHY-CAND-015,related,0.94,物理教材八下（2024人教）(1).pdf,目录p5 第十一章功和机械能,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-012,textbook_chapter,TBPHY-CAND-014,knowledge_point,KPHY-CAND-015,related,0.90,物理教材八下（2024人教）(1).pdf,目录p5 第十二章简单机械,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-013,textbook_chapter,TBPHY-CAND-016,knowledge_point,KPHY-CAND-016,related,0.94,物理教材九全（2025秋.人教）(1).pdf,目录p4 第十三章内能,textbook_alignment,pending_review,false,true,candidate only
MAP-CAND-014,textbook_chapter,TBPHY-CAND-017,knowledge_point,KPHY-CAND-016,related,0.90,物理教材九全（2025秋.人教）(1).pdf,目录p4 第十四章内能的利用,textbook_alignment,pending_review,false,true,candidate only
