task_id,scope,deterministic_precheck,dedicated_surface,ai_agent_allowed_scope,exception_policy,evidence_command
GLOBAL,all future feature work,CSV JSON YAML schema backlog and roadmap parse plus source evidence checks,tasks/automation-first-contract.csv plus automation-first guard,AI agent only semantic candidate complex mapping risk review or outer orchestration,missing row or weak evidence blocks implementation,tools/run-automation-first-feature-contract-guard.ps1
S002,teacher workflow application service,rg inventory thin endpoint guard workflow DTO state contract,application services and focused API contracts,N/A no AI runtime dependency,endpoint business orchestration drift blocks task,dotnet build plus architecture guard plus automation-first guard
S003,real import workbench API UI,upload metadata validation source preview privacy checks,typed API client import UI and API smoke,N/A no AI runtime dependency,missing API or UI smoke blocks task,API smoke plus UI contract plus automation-first guard
S004,document parse quality baseline,OpenXML OMML docx parse PDF text layout extraction Docling structure PaddleOCR PP-OCRv5 PP-StructureV3 PP-FormulaNet golden registry adapter diagnostics benchmark hash worker profile isolation venv uv conda WSL Docker path mapping model cache timeout install deploy configure diagnostic new host hardware detection and cloud fallback admission checks,layered document adapters benchmark script worker profile install diagnostic evidence report and manual takeover UI,N/A no AI agent production dependency cloud OCR only optional reviewed fallback after privacy cost authorization cache and rollback admission,missing layered adapter profile install evidence path mapping model cache new host diagnostic or low confidence without pending_review blocks task,adapter benchmark contract plus worker profile install diagnostic plus automation-first guard
S005,cut candidate pipeline,DocumentModel rules source region confidence and failure reason checks,candidate API service UI contract and J006 report,AI only candidate suggestion never full automation,claiming full auto cut blocks task,API contract plus J006 report plus automation-first guard
S006,human review takeover workbench,review queue status audit undo and source checks,review API UI golden scenario and audit evidence,N/A no AI runtime dependency,missing human takeover path blocks task,UI contract plus API smoke plus automation-first guard
S007,AI tagging suggestion review queue,schema eval active knowledge version no active write checks,DB backed suggestion queue review UI and audit evidence,AI only pending_review suggestion teacher confirms write,no direct question write without teacher confirmation,AI eval plus review queue contract plus automation-first guard
S008,production search and question card,C002 active query source version pagination and asset status checks,QuestionSearch API UI contract and roadmap guard,N/A no AI runtime dependency,missing active version reference blocks task,API search contract plus UI contract plus automation-first guard
S009,paper basket and blueprint workflow,paper basket persistence blueprint constraints undo and version checks,PaperWorkflowService API UI smoke and no opaque generation guard,AI or natural language only produces reviewable blueprint,opaque paper generation blocks task,API persistence contract plus blueprint smoke plus automation-first guard
S010,export preflight and artifacts,export preflight rules manifest hash and artifact checks,export API UI artifact chain and regression scripts,N/A no AI runtime dependency,missing artifact manifest blocks task,export regression plus UI contract plus automation-first guard
