issue_id,entity_type,entity_id,issue_type,issue_summary,severity,recommended_action,review_status,production_eligible
QI-C003-0001,year_report_observation,YRO-C003-2016-01,year_report_metric_review_required,已自动定位年报p2，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0002,year_report_observation,YRO-C003-2016-02,year_report_metric_review_required,已自动定位年报p3，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0003,year_report_observation,YRO-C003-2016-03,year_report_metric_review_required,已自动定位年报p4，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0004,year_report_observation,YRO-C003-2016-04,year_report_metric_review_required,已自动定位年报p16，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0005,year_report_observation,YRO-C003-2016-05,year_report_metric_review_required,已自动定位年报p9，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0006,year_report_observation,YRO-C003-2016-06,year_report_metric_review_required,已自动定位年报p10，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0007,year_report_observation,YRO-C003-2016-07,year_report_metric_review_required,已自动定位年报p11，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0008,year_report_observation,YRO-C003-2016-08,year_report_metric_review_required,已自动定位年报p12，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0009,year_report_observation,YRO-C003-2016-09,year_report_metric_review_required,已自动定位年报p14，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0010,year_report_observation,YRO-C003-2016-10,year_report_metric_review_required,已自动定位年报p14，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0011,year_report_observation,YRO-C003-2016-11,year_report_metric_review_required,已自动定位年报p15，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0012,year_report_observation,YRO-C003-2016-12,year_report_metric_review_required,已自动定位年报p17，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0013,year_report_observation,YRO-C003-2016-13,year_report_discrimination_review_required,已自动定位年报p19并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0014,year_report_observation,YRO-C003-2016-14,year_report_human_confirmation_required,已自动定位年报p22并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0015,year_report_observation,YRO-C003-2016-15,year_report_discrimination_review_required,已自动定位年报p24并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0016,year_report_observation,YRO-C003-2016-16,year_report_discrimination_review_required,已自动定位年报p25并提取难度，区分度和教学建议仍需人工摘录,low,人工核验区分度、典型错误和教学建议,pending_review,false
QI-C003-0017,year_report_observation,YRO-C003-2016-17,year_report_human_confirmation_required,已自动定位年报p26并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0018,year_report_observation,YRO-C003-2016-18,year_report_human_confirmation_required,已自动定位年报p28并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0019,year_report_observation,YRO-C003-2016-19,year_report_human_confirmation_required,已自动定位年报p30并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0020,year_report_observation,YRO-C003-2016-20,year_report_metric_review_required,已自动定位年报p39，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0021,year_report_observation,YRO-C003-2016-21,year_report_metric_review_required,已自动定位年报p6，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0022,year_report_observation,YRO-C003-2016-22,year_report_metric_review_required,已自动定位年报p39，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0023,year_report_observation,YRO-C003-2016-23,year_report_page_unverified,年报逐题页码仍未自动定位,medium,人工定位年报逐题页码并核验难度区分度,pending_review,false
QI-C003-0024,year_report_observation,YRO-C003-2016-24,year_report_human_confirmation_required,已自动定位年报p45并提取难度/区分度，仍需人工确认,low,抽样核对原年报页码、难度、区分度和教学建议后关闭,pending_review,false
QI-C003-0025,year_report_observation,YRO-C003-2017-01,year_report_metric_review_required,已自动定位年报p2，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0026,year_report_observation,YRO-C003-2017-02,year_report_metric_review_required,已自动定位年报p3，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
QI-C003-0027,year_report_observation,YRO-C003-2017-03,year_report_metric_review_required,已自动定位年报p5，难度区分度和教学建议仍需人工摘录,low,人工核验难度、区分度、典型错误和教学建议,pending_review,false
