stable_id,parent_stable_id,title,subject,stage,region,year_range,exam_scope,source_material_ids,evidence_locations,common_question_types,knowledge_stable_ids,ability_dimensions,difficulty_band,frequency_weight,trend_status,review_status,production_eligible,notes
EPHY-C003-001,,生活情境中的长度时间质量等估测,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005,2016Q01,choice;fill,KPHY-C003-025;KPHY-C003-014,信息提取;科学推理,easy-to-medium,0.01,stable,pending_review,false,candidate full exam point
EPHY-C003-002,,根据速度路程时间关系进行运动信息判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025,2016Q09;2017Q17;2017Q19;2017Q24;2019Q15;2020Q20;2021Q16;2022Q04;2022Q13;2022Q15;2023Q13,choice;calculation,KPHY-C003-026,信息提取;数学运算,easy-to-medium,0.16,stable,pending_review,false,candidate full exam point
EPHY-C003-003,,根据频率和声强判断音调响度音色,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q02;2017Q05;2019Q05;2020Q05;2021Q03;2022Q07;2023Q05;2024Q04;2025Q04,choice,KPHY-C003-037,信息提取;科学推理,easy,0.15,stable,pending_review,false,candidate full exam point
EPHY-C003-004,,结合实验判断声音产生和传播条件,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice;experiment,KPHY-C003-036,实验探究;科学推理,easy-to-medium,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-005,,根据物态变化过程判断吸放热和状态变化,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q08;2016Q14;2023Q09;2024Q05;2025Q16,choice;fill,KPHY-C003-005;KPHY-C003-006;KPHY-C003-007,科学推理,easy-to-medium,0.08,stable,pending_review,false,candidate full exam point
EPHY-C003-006,,用温度图像或实验现象分析晶体熔沸腾规律,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-014;SRC-C003-017;SRC-C003-019,2016Q12;2019Q07;2020Q19;2021Q15,choice;experiment,KPHY-C003-004;KPHY-C003-005;KPHY-C003-006;KPHY-C003-082,信息提取;实验探究,medium,0.05,stable,pending_review,false,candidate full exam point
EPHY-C003-007,,运用分子动理论解释扩散和热现象,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-008,2017Q06,choice;fill,KPHY-C003-023;KPHY-C003-059,科学推理,easy-to-medium,0.01,stable,pending_review,false,candidate full exam point
EPHY-C003-008,,判断内能改变方式和热量传递方向,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005,2016Q07,choice,KPHY-C003-059,科学推理,easy-to-medium,0.01,stable,pending_review,false,candidate full exam point
EPHY-C003-009,,比热容热量计算及自然生活现象解释,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-008;SRC-C003-011;SRC-C003-025,2017Q09;2018Q23;2023Q10,fill;calculation,KPHY-C003-060,数学运算;科学推理,medium,0.04,stable,pending_review,false,candidate full exam point
EPHY-C003-010,,热机能量流向热值和效率计算,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-014,2019Q09,choice;calculation,KPHY-C003-061;KPHY-C003-070,数学运算;科学推理,medium,0.01,rising,pending_review,false,candidate full exam point
EPHY-C003-011,,微观结构原子核电子粒子组成判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-011;SRC-C003-017;SRC-C003-019,2016Q03;2016Q04;2016Q17;2018Q06;2020Q24;2021Q02,choice,KPHY-C003-017;KPHY-C003-018,科学推理,easy,0.07,stable,pending_review,false,candidate full exam point
EPHY-C003-012,,静电现象摩擦起电和电荷相互作用判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028,2016Q06;2021Q04;2022Q08;2023Q04;2024Q07,choice,KPHY-C003-043,科学推理,easy-to-medium,0.10,stable,pending_review,false,candidate full exam point
EPHY-C003-013,,力的作用效果和力的示意图表达,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-011;SRC-C003-017;SRC-C003-019,2018Q07;2018Q08;2020Q16;2021Q12,fill;drawing,KPHY-C003-028;KPHY-C003-029,规范表达;科学推理,medium,0.05,stable,pending_review,false,candidate full exam point
EPHY-C003-014,,二力平衡与受力分析判断静止匀速问题,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-019;SRC-C003-022;SRC-C003-031,2016Q11;2016Q15;2017Q15;2018Q14;2019Q08;2021Q10;2021Q13;2022Q17;2025Q09,choice;drawing,KPHY-C003-027;KPHY-C003-029,科学推理;模型建构,medium,0.13,stable,pending_review,false,candidate full exam point
EPHY-C003-015,,摩擦力大小方向和做功判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-031,2016Q10;2025Q07,choice;calculation,KPHY-C003-027;KPHY-C003-053,科学推理;数学运算,medium,0.03,stable,pending_review,false,candidate full exam point
EPHY-C003-016,,惯性与运动状态变化情境推理,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-008;SRC-C003-011;SRC-C003-017;SRC-C003-022,2017Q07;2018Q11;2020Q06;2022Q05,choice,KPHY-C003-030,科学推理;模型建构,medium,0.05,stable,pending_review,false,candidate full exam point
EPHY-C003-017,,机械能动能势能转化和守恒判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-025;SRC-C003-028,2016Q16;2018Q10;2019Q21;2020Q07;2023Q07;2024Q12,choice;fill,KPHY-C003-055;KPHY-C003-070,科学推理;信息提取,medium,0.08,stable,pending_review,false,candidate full exam point
EPHY-C003-018,,功功率和机械效率计算比较,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-025;SRC-C003-028,2016Q24;2017Q12;2018Q17;2019Q20;2020Q21;2021Q06;2023Q06;2024Q16,choice;calculation,KPHY-C003-053;KPHY-C003-056;KPHY-C003-057,数学运算;信息提取,medium,0.11,stable,pending_review,false,candidate full exam point
EPHY-C003-019,,杠杆平衡条件建模与计算,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,fill;experiment;calculation,KPHY-C003-031;KPHY-C003-083,模型建构;数学运算;实验探究,medium-to-hard,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-020,,压强公式及增减压强方法应用,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-031,2016Q18;2018Q18;2019Q18;2020Q11;2021Q05;2022Q14;2023Q14;2025Q10,choice;calculation,KPHY-C003-032,数学运算;科学推理,medium,0.12,stable,pending_review,false,candidate full exam point
EPHY-C003-021,,液体压强大气压强连通器和流体压强判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-022;SRC-C003-028,2017Q08;2018Q15;2019Q17;2019Q19;2022Q06;2024Q14,choice;fill,KPHY-C003-033,科学推理;信息提取,medium,0.08,stable,pending_review,false,candidate full exam point
EPHY-C003-022,,浮力阿基米德原理和浮沉条件综合判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-011;SRC-C003-014;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2018Q21;2019Q11;2022Q10;2023Q17;2024Q06;2025Q18,choice;experiment;calculation,KPHY-C003-034,模型建构;数学运算;科学推理,medium-to-hard,0.11,stable,pending_review,false,candidate full exam point
EPHY-C003-023,,光的反射折射色散和光纤通信原理判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-008;SRC-C003-011;SRC-C003-017;SRC-C003-022;SRC-C003-028,2017Q13;2018Q13;2020Q14;2022Q11;2024Q11,choice;drawing,KPHY-C003-038;KPHY-C003-041;KPHY-C003-049,科学推理;信息提取,medium,0.07,stable,pending_review,false,candidate full exam point
EPHY-C003-024,,平面镜成像特点作图和像物关系分析,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,drawing;fill,KPHY-C003-039,规范表达;科学推理,medium,0.00,stable,pending_review,false,candidate full exam point
EPHY-C003-025,,凸透镜成像规律及焦距范围推断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-025;SRC-C003-031,2016Q13;2017Q11;2018Q12;2018Q20;2019Q14;2020Q13;2023Q11;2025Q05,choice;experiment,KPHY-C003-040,科学推理;实验探究,medium,0.10,stable,pending_review,false,candidate full exam point
EPHY-C003-026,,磁场小磁针通电螺线管方向判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,SRC-C003-017;SRC-C003-022;SRC-C003-025,2020Q09;2022Q12;2023Q08,choice;drawing,KPHY-C003-044;KPHY-C003-045,科学推理;模型建构,medium,0.05,stable,pending_review,false,candidate full exam point
EPHY-C003-027,,电磁铁电磁继电器和工程装置工作判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,,来源定位不足,choice;comprehensive,KPHY-C003-046,模型建构;科学推理;跨学科应用,medium-to-hard,0.00,rising,pending_review,false,candidate full exam point
