issue_id,entity_type,entity_id,issue_type,issue_summary,severity,recommended_action,review_status,production_eligible
QI-C003-0001,year_report_observation,YRO-C003-2016-01,year_report_metric_review_required,已文档核验2016Q01: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p2; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0002,year_report_observation,YRO-C003-2016-02,year_report_metric_review_required,已文档核验2016Q02: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0003,year_report_observation,YRO-C003-2016-03,year_report_metric_review_required,已文档核验2016Q03: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p4; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0004,year_report_observation,YRO-C003-2016-04,year_report_metric_review_required,已文档核验2016Q04: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p6; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0005,year_report_observation,YRO-C003-2016-05,year_report_metric_review_required,已文档核验2016Q05: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p9; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0006,year_report_observation,YRO-C003-2016-06,year_report_metric_review_required,已文档核验2016Q06: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p10; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0007,year_report_observation,YRO-C003-2016-07,year_report_metric_review_required,已文档核验2016Q07: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p11; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0008,year_report_observation,YRO-C003-2016-08,year_report_metric_review_required,已文档核验2016Q08: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p12; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0009,year_report_observation,YRO-C003-2016-09,year_report_metric_review_required,已文档核验2016Q09: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p14; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0010,year_report_observation,YRO-C003-2016-10,year_report_metric_review_required,已文档核验2016Q10: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p14; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0011,year_report_observation,YRO-C003-2016-11,year_report_metric_review_required,已文档核验2016Q11: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p15; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0012,year_report_observation,YRO-C003-2016-12,year_report_metric_review_required,已文档核验2016Q12: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p17; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0013,year_report_observation,YRO-C003-2016-13,year_report_discrimination_review_required,已文档核验2016Q13: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p19; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0014,year_report_observation,YRO-C003-2016-14,year_report_human_confirmation_required,已文档核验2016Q14: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p22; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0015,year_report_observation,YRO-C003-2016-15,year_report_discrimination_review_required,已文档核验2016Q15: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p24; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0016,year_report_observation,YRO-C003-2016-16,year_report_discrimination_review_required,已文档核验2016Q16: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p25; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0017,year_report_observation,YRO-C003-2016-17,year_report_human_confirmation_required,已文档核验2016Q17: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p26; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0018,year_report_observation,YRO-C003-2016-18,year_report_human_confirmation_required,已文档核验2016Q18: 原卷真题p5; 答案2016广州中考答案.pdf; 年报p28; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0019,year_report_observation,YRO-C003-2016-19,year_report_human_confirmation_required,已文档核验2016Q19: 原卷真题p5; 答案2016广州中考答案.pdf; 年报p30; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0020,year_report_observation,YRO-C003-2016-20,year_report_metric_review_required,已文档核验2016Q20: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p17; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0021,year_report_observation,YRO-C003-2016-21,year_report_metric_review_required,已文档核验2016Q21: 原卷真题p6; 答案2016广州中考答案.pdf; 年报p35; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0022,year_report_observation,YRO-C003-2016-22,year_report_metric_review_required,已文档核验2016Q22: 原卷真题p6; 答案2016广州中考答案.pdf; 年报p39; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0023,year_report_observation,YRO-C003-2016-23,year_report_page_unverified,已文档核验2016Q23，年报逐题分析位置已修正为年报p43-p45;文档核验:2016Q23逐题分析，难度/区分度已摘录或确认缺项，典型错误/教学建议已写入 observation,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0024,year_report_observation,YRO-C003-2016-24,year_report_human_confirmation_required,已文档核验2016Q24: 原卷真题p8; 答案2016广州中考答案.pdf; 年报p45; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0025,year_report_observation,YRO-C003-2017-01,year_report_metric_review_required,已文档核验2017Q01: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p2; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0026,year_report_observation,YRO-C003-2017-02,year_report_metric_review_required,已文档核验2017Q02: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0027,year_report_observation,YRO-C003-2017-03,year_report_metric_review_required,已文档核验2017Q03: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0028,year_report_observation,YRO-C003-2017-04,year_report_discrimination_review_required,已文档核验2017Q04: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p53; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0029,year_report_observation,YRO-C003-2017-05,year_report_metric_review_required,已文档核验2017Q05: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p5; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0030,year_report_observation,YRO-C003-2017-06,year_report_metric_review_required,已文档核验2017Q06: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p6; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0031,year_report_observation,YRO-C003-2017-07,year_report_metric_review_required,已文档核验2017Q07: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p7; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0032,year_report_observation,YRO-C003-2017-08,year_report_metric_review_required,已文档核验2017Q08: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p9; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0033,year_report_observation,YRO-C003-2017-09,year_report_metric_review_required,已文档核验2017Q09: 原卷真题p3; 答案2017广州中考答案.pdf; 年报p10; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0034,year_report_observation,YRO-C003-2017-10,year_report_metric_review_required,已文档核验2017Q10: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p11; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true
QI-C003-0035,year_report_observation,YRO-C003-2017-11,year_report_page_unverified,已文档核验2017Q11，年报逐题分析位置已修正为年报p12-p14;文档核验:2017Q11逐题分析;统计表p53，难度/区分度已摘录或确认缺项，典型错误/教学建议已写入 observation,low,已关闭；后续 active 前由 C002S 复核,resolved,true
