questionId,year,questionNumber,classification,changedRoles,blockers
QPHY-C003-2016-01,2016,1,matched,,
QPHY-C003-2016-02,2016,2,matched,,
QPHY-C003-2016-03,2016,3,matched,,
QPHY-C003-2016-04,2016,4,matched,,
QPHY-C003-2016-05,2016,5,matched,,
QPHY-C003-2016-06,2016,6,matched,,
QPHY-C003-2016-07,2016,7,matched,,
QPHY-C003-2016-08,2016,8,matched,,
QPHY-C003-2016-09,2016,9,matched,,
QPHY-C003-2016-10,2016,10,matched,,
QPHY-C003-2016-11,2016,11,matched,,
QPHY-C003-2016-12,2016,12,matched,,
QPHY-C003-2016-13,2016,13,matched,,
QPHY-C003-2016-14,2016,14,matched,,
QPHY-C003-2016-15,2016,15,matched,,
QPHY-C003-2016-16,2016,16,matched,,
QPHY-C003-2016-17,2016,17,matched,,
QPHY-C003-2016-18,2016,18,matched,,
QPHY-C003-2016-19,2016,19,matched,,
QPHY-C003-2016-20,2016,20,matched,,
QPHY-C003-2016-21,2016,21,matched,,
QPHY-C003-2016-22,2016,22,matched,,
QPHY-C003-2016-23,2016,23,matched,,
QPHY-C003-2016-24,2016,24,matched,,
QPHY-C003-2017-01,2017,1,matched,,
QPHY-C003-2017-02,2017,2,matched,,
QPHY-C003-2017-03,2017,3,matched,,
QPHY-C003-2017-04,2017,4,matched,,
QPHY-C003-2017-05,2017,5,matched,,
QPHY-C003-2017-06,2017,6,matched,,
QPHY-C003-2017-07,2017,7,matched,,
QPHY-C003-2017-08,2017,8,matched,,
QPHY-C003-2017-09,2017,9,matched,,
QPHY-C003-2017-10,2017,10,matched,,
QPHY-C003-2017-11,2017,11,matched,,
QPHY-C003-2017-12,2017,12,matched,,
QPHY-C003-2017-13,2017,13,matched,,
QPHY-C003-2017-14,2017,14,matched,,
QPHY-C003-2017-15,2017,15,matched,,
QPHY-C003-2017-16,2017,16,matched,,
QPHY-C003-2017-17,2017,17,matched,,
QPHY-C003-2017-18,2017,18,matched,,
QPHY-C003-2017-19,2017,19,matched,,
QPHY-C003-2017-20,2017,20,matched,,
QPHY-C003-2017-21,2017,21,matched,,
QPHY-C003-2017-22,2017,22,matched,,
QPHY-C003-2017-23,2017,23,matched,,
QPHY-C003-2017-24,2017,24,matched,,
QPHY-C003-2018-01,2018,1,matched,,
QPHY-C003-2018-02,2018,2,matched,,
QPHY-C003-2018-03,2018,3,matched,,
QPHY-C003-2018-04,2018,4,matched,,
QPHY-C003-2018-05,2018,5,matched,,
QPHY-C003-2018-06,2018,6,matched,,
QPHY-C003-2018-07,2018,7,matched,,
QPHY-C003-2018-08,2018,8,matched,,
QPHY-C003-2018-09,2018,9,matched,,
QPHY-C003-2018-10,2018,10,matched,,
QPHY-C003-2018-11,2018,11,matched,,
QPHY-C003-2018-12,2018,12,matched,,
QPHY-C003-2018-13,2018,13,matched,,
QPHY-C003-2018-14,2018,14,matched,,
