task_id,applies_when,official_reference_urls,local_reference_paths,community_reference_paths,why_required,minimum_expectation
S004,文档解析/OCR/公式识别顺序、worker profile、cloud fallback 或 fidelity 规则发生变化时,https://github.com/dotnet/Open-XML-SDK;https://github.com/docling-project/docling;https://github.com/PaddlePaddle/PaddleOCR;https://github.com/ocrmypdf/OCRmyPDF,official-docs/Open-XML-SDK;document-ocr-ai/docling;document-ocr-ai/PaddleOCR;document-ocr-ai/OCRmyPDF;document-ocr-ai/RapidOCR,document-workflows/paperless-ngx,文档解析链最容易因为工具升级或经验判断发生漂移 必须先对照官方与本地镜像确认边界,修改解析顺序 worker profile 公式保真或 cloud fallback 前 先复核官方来源和本地镜像 不得只凭经验改默认链路
S010,导出前审校 Word/WPS/PDF artifact manifest 或公式/题图/授权保真规则变化时,https://github.com/dotnet/Open-XML-SDK;https://learn.microsoft.com/en-us/dotnet/api/documentformat.openxml.math.officemath;https://github.com/microsoft/playwright,official-docs/Open-XML-SDK;official-docs/playwright,,导出链最容易在“文件能打开”之外悄悄丢失公式 题图 来源授权与版本提示,修改 export preflight artifact manifest Word/PDF 变体或 fidelity 规则前 必须复核 OpenXML OfficeMath 与 Playwright 导出验收参考
S011,成绩导入模板 小题映射 知识点分析或讲评导出规则变化时,https://github.com/dotnet/EntityFramework.Docs;https://github.com/dotnet/Open-XML-SDK;https://github.com/reactjs/react.dev;https://github.com/TanStack/query,official-docs/EntityFramework.Docs;official-docs/Open-XML-SDK;official-docs/react.dev;official-docs/tanstack-query,,成绩导入与讲评链同时牵涉持久化 隐私边界 前端 server-state 和导出工件 不能只凭一次 smoke 改默认流程,修改 score import item mapping analysis summary 或 commentary export 前 必须复核 EF OpenXML React 与 TanStack Query 参考
REAL010,Office 公式保真、扫描公式候选识别、fallback image 或 reviewStatus 规则变化时,https://github.com/dotnet/Open-XML-SDK;https://learn.microsoft.com/en-us/dotnet/api/documentformat.openxml.math.officemath;https://github.com/PaddlePaddle/PaddleOCR,official-docs/Open-XML-SDK;document-ocr-ai/PaddleOCR,document-workflows/paperless-ngx,公式保真错误会直接破坏题目正确性和导出兼容性,修改 OMML 第一真源 扫描公式 fallback 或公式 review 规则前 必须先对照 OpenXML 与公式识别官方参考
NS1301,API endpoint/page/service 边界 server-state 路由或页面拆分策略变化时,https://github.com/dotnet/AspNetCore.Docs;https://github.com/reactjs/react.dev;https://github.com/TanStack/query;https://github.com/remix-run/react-router,official-docs/AspNetCore.Docs;official-docs/react.dev;official-docs/tanstack-query;official-docs/react-router,architecture-samples/CleanArchitecture,薄入口和 typed client 边界一旦漂移 会反复把业务编排塞回页面或 endpoint,调整 page split service boundary server-state routing 前 先复核 React Query Router 和 CleanArchitecture 参考
NS1302,Windows Service 主形态 content root data root 或控制面板边界变化时,https://learn.microsoft.com/aspnet/core/host-and-deploy/windows-service?view=aspnetcore-10.0;https://github.com/MicrosoftDocs/PowerShell-Docs,official-docs/AspNetCore.Docs;official-docs/PowerShell-Docs,architecture-samples/CleanArchitecture,Windows Service 与控制面板属于发布主形态 不能凭记忆改路径和宿主模型,修改 service host content root data root 或控制面板动作前 必须复核官方宿主与 PowerShell 运维参考
NS1303,host capability diagnostic profile 生成或本机配置差异逻辑变化时,https://github.com/MicrosoftDocs/PowerShell-Docs;https://learn.microsoft.com/en-us/powershell/module/scheduledtasks/register-scheduledtask;https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/robocopy,official-docs/PowerShell-Docs,,本机配置与诊断链是运维事实源 必须先看 PowerShell/Windows 官方语义,修改诊断字段 profile 命名 计划任务或复制策略前 必须先复核 PowerShell 和 Windows 运维来源
NS1304,工具链准入 缺失工具 fallback 或默认 OCR/PDF 路由变化时,https://github.com/docling-project/docling;https://github.com/PaddlePaddle/PaddleOCR;https://github.com/ocrmypdf/OCRmyPDF;https://github.com/RapidAI/RapidOCR,document-ocr-ai/docling;document-ocr-ai/PaddleOCR;document-ocr-ai/OCRmyPDF;document-ocr-ai/RapidOCR,document-workflows/paperless-ngx,工具链默认值和 fail-closed 边界必须建立在官方能力与本地可复现镜像之上,改变默认 toolchain/fallback 前 必须复核官方项目和本地镜像 不得把缺失工具伪装成可用
NS1305,provider profile 角色路由 schema eval 或 no-active-write 边界变化时,https://platform.openai.com/docs/guides/structured-outputs;https://platform.openai.com/docs/api-reference/evals/create;https://github.com/openai/openai-dotnet;https://github.com/openai/openai-cookbook,official-docs/openai-dotnet;official-docs/AspNetCore.Docs;official-docs/react.dev;official-docs/tanstack-query,,AI 路由兼具后端 contract 与前端治理面 不能只凭聊天印象改,修改 provider profile role routing structured output 或 eval 边界前 先复核 OpenAI 官方指南 官方 .NET SDK 与本地 API/UI 参考
NS1306,allowlisted tool runbook 自动化代理边界或浏览器自动化策略变化时,https://github.com/MicrosoftDocs/PowerShell-Docs;https://github.com/microsoft/playwright;https://github.com/openai/openai-cookbook,official-docs/PowerShell-Docs;official-docs/playwright,document-workflows/paperless-ngx,agent orchestration 一旦越界 会直接破坏本机安全边界和产品运行时边界,修改 allowlist runbook browser automation 或 outer-agent 责任边界前 必须复核 PowerShell Playwright 与代理实践来源
