id,parent_slice,criterion_ids,focus,status,depends_on,acceptance,verification,evidence_anchor,owner_role
REAL005B1,REAL005B,RG003,逐年题数与题号连续性,已完成,REAL005A,逐年 expected question count 与 actual_count 一致且题号连续性缺口可被报告定位,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005B1,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005B2,REAL005B,RG004,逐题答案锚定,已完成,REAL005B1,每题答案都具备来源锚点或明确人工接管原因,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005B2,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005B3,REAL005B,RG005,来源区域与题图资产完备性,已完成,REAL005B2,每题具备可回看来源区域 图题/实验题/作图题具备截图级区域或题图资产,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005B3,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005B4,REAL005B,RG006,结构化题目字段完备性,已完成,REAL005B3,题干 选项 小问 答案 解析 公式 表格 图片字段都结构化保存或进入 pending_review,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005B4,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005B5,REAL005B,RG007,标签难度题型建议来源与 no-active-write,已完成,REAL005B4,知识点 题型 难度 标签来自 deterministic seed 或 AI candidate 且保持 pending_review 直到教师确认,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005B5,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005B6,REAL005B,RG008;RG009,审核终态与来源回看链路,已完成,REAL005B5,审核形成 terminal status 和 audit 且审核后题目仍能回看来源页 区域 答案 标签和风险,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005B6,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005C1,REAL005C,RG010,真实题检索题篮导出链,已完成,REAL005B6,真实已审核题进入检索 题篮 组卷 导出预检和 Word/PDF 导出链,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005C1 + tools/run-real005c1-real-question-search-paper-export-smoke.ps1,docs/evidence/20260617-real005c1-real-question-search-paper-export-smoke.json,题库/导入负责人
REAL005C2,REAL005C,RG011,学情分析只引用已审核题与 active 知识版本,已完成,REAL005C1,学情分析和讲评报告只引用已审核题与 active 知识版本 AI 只生成 draft 文案,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005C2 + tools/run-real005c2-real-question-analysis-reference-smoke.ps1,docs/evidence/20260617-real005c2-real-question-analysis-reference-smoke.json,题库/导入负责人
REAL005C3,REAL005C,RG012,rollback privacy no-active-write 批次证据,已完成,REAL005C2,每个写库批次具备 dry-run apply rollback SQL privacy=0 external_ai policy cost/cache no-active-write 证据,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005C3 + tools/run-real005c3-rollback-privacy-no-active-write-report.ps1,docs/evidence/20260617-real005c3-rollback-privacy-no-active-write-report.json,题库/导入负责人
REAL005C4,REAL005C,RG013;RG014;RG015,版面噪声公式保真表格结构化,已完成,REAL005C3,版面噪声显式排除 公式保留 OMML/fallback/reviewStatus 表格以 table block JSON 结构化保存,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005C4,docs/evidence/<date>-real005-detailed-slice-plan-guard.json,题库/导入负责人
REAL005C5,REAL005C,RG016,编辑重裁审计闭环,已完成,REAL005C4,题干 答案 解析 标签 bbox 题图 表格 公式修改都通过可审计编辑或重裁入口完成,tools/run-real005-detailed-slice-plan-guard.ps1 + REAL005C5 + tools/run-real005c5-edit-recrop-audit-smoke.ps1,docs/evidence/20260617-real005c5-edit-recrop-audit-smoke.json,题库/导入负责人
