suggestion_id,exam_point_id,knowledge_stable_ids,suggestion_summary,target_stage,source_material_ids,evidence_locations,confidence,review_status,production_eligible,notes
TSG-C003-001,EPHY-C003-001,KPHY-C003-025;KPHY-C003-014,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005,2016Q01,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-002,EPHY-C003-002,KPHY-C003-026,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025,2016Q09;2017Q17;2017Q19;2017Q24;2019Q15;2020Q20;2021Q16;2022Q04;2022Q13;2022Q15;2023Q13,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-003,EPHY-C003-003,KPHY-C003-037,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q02;2017Q05;2019Q05;2020Q05;2021Q03;2022Q07;2023Q05;2024Q04;2025Q04,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-004,EPHY-C003-004,KPHY-C003-036,用频率-音调、振幅/声强-响度双维表训练非连续文本判断,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-005,EPHY-C003-005,KPHY-C003-005;KPHY-C003-006;KPHY-C003-007,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q08;2016Q14;2023Q09;2024Q05;2025Q16,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-006,EPHY-C003-006,KPHY-C003-004;KPHY-C003-005;KPHY-C003-006;KPHY-C003-082,按问题-猜想-变量-证据-结论-评估流程训练实验题表达,中考复习与日常教学,SRC-C003-005;SRC-C003-014;SRC-C003-017;SRC-C003-019,2016Q12;2019Q07;2020Q19;2021Q15,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-007,EPHY-C003-007,KPHY-C003-023;KPHY-C003-059,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-008,2017Q06,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-008,EPHY-C003-008,KPHY-C003-059,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005,2016Q07,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-009,EPHY-C003-009,KPHY-C003-060,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-008;SRC-C003-011;SRC-C003-025,2017Q09;2018Q23;2023Q10,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-010,EPHY-C003-010,KPHY-C003-061;KPHY-C003-070,用能量流向图和输入/有用/损失三栏表训练,中考复习与日常教学,SRC-C003-014,2019Q09,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-011,EPHY-C003-011,KPHY-C003-017;KPHY-C003-018,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-011;SRC-C003-017;SRC-C003-019,2016Q03;2016Q04;2016Q17;2018Q06;2020Q24;2021Q02,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-012,EPHY-C003-012,KPHY-C003-043,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028,2016Q06;2021Q04;2022Q08;2023Q04;2024Q07,0.66,pending_review,false,candidate teaching suggestion
