observation_id,year,question_id,question_number,source_material_ids,source_file,evidence_locations,official_exam_point_summary,difficulty_value,discrimination_value,option_distribution_summary,common_errors_summary,teaching_suggestion_summary,confidence,review_status,production_eligible,notes
YRO-C003-2016-01,2016,QPHY-C003-2016-01,1,SRC-C003-007,2016广州中考年报.pdf,年报p2;文档核验:2016Q01逐题分析,考查的科学内容：“运动和相互作用”主题,0.9511,0.1632,A:0.6848%;B:0.9709%;C:3.1751%;D:95.109%;未选:1%,错选了“cm”，而今年正确答案是“cm”。所以不排除今年答对的部分学生并 没有掌握估测长度的方法，或考试时也没有测量过第一节大拇指的长度，只是选择了一 个自己熟悉的单位而碰巧得到答案。若把四个选项改为“A.25m B.25cm C.25nm D.25mm”，就能更好地考查学生相…,年报p2逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p2; original=2016广州中考.pdf#真题p1; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2016-02,2016,QPHY-C003-2016-02,2,SRC-C003-007,2016广州中考年报.pdf,年报p3;文档核验:2016Q02逐题分析,考查的科学内容：“运动和相互作用”主题,0.7406,0.5578,A:74.0567%;B:5.074%;C:19.0628%;D:1.7158%,错选响度大。可推测学生并没有正确建构“音调”、“响度”、 “音色”这些描述乐音特性的物理概念。响度与振动的幅度有关，音调是与振动的快慢有关， 学生是很容易混淆这两个定义。新课的教学如何帮助学生建构并长时间记住物理概念？首先 要让学生观察现象、描述现象，给出定义，然后再通过精选的…,年报p3逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p3; original=2016广州中考.pdf#真题p1; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2016-03,2016,QPHY-C003-2016-03,3,SRC-C003-007,2016广州中考年报.pdf,年报p4;文档核验:2016Q03逐题分析,考查的科学内容：“物质”主题,0.6306,0.7562,A:63.0608%;B:12.4075%;C:21.0648%;D:3.3525%;未选:1%,年报p4逐题分析未检索到明确典型错误表述；已核验为缺项,年报p4逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p4; original=2016广州中考.pdf#真题p1; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary,teaching_suggestion_summary"
YRO-C003-2016-04,2016,QPHY-C003-2016-04,4,SRC-C003-007,2016广州中考年报.pdf,年报p6;文档核验:2016Q04逐题分析,考查的科学内容：“运动和相互作用”主题,0.6624,0.6433,A:3.6252%;B:66.2435%;C:19.3699%;D:10.5276%;未选:7%,错选“体检胸透用的电磁波频率比无线电波低”，2015 年有6.095% 学生错选“红外线波长比蓝光波长短”，而2016 年有66.2435%学生正确选择“蓝牙通讯的波 长比手机通信的电磁波短”。 014 年有65.11%的学生正确选了“可见光与无线电波在真空中的传播速度相同”。…,年报p6逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p6; original=2016广州中考.pdf#真题p1; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2016-05,2016,QPHY-C003-2016-05,5,SRC-C003-007,2016广州中考年报.pdf,年报p9;文档核验:2016Q05逐题分析,考查的科学内容：“能量”主题,0.5142,0.6821,A:8.0288%;B:11.2105%;C:51.4221%;D:29.1908%;未选:2013%,错选D，推测学生只是用一些脑里存有的结论及单选题的做题 技巧回答问题，而没有养成根据概念、规律分析、解决问题的习惯。以此题为例，学生如何 解题才是正确的思维习惯，学生脑里应贮存什么才能以不变应万变，什么是“通用”解决问 题的方法？ 本题学生看完题第一步应先画出实物图对应的电路图…,年报p9逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p9; original=2016广州中考.pdf#真题p2; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2016-06,2016,QPHY-C003-2016-06,6,SRC-C003-007,2016广州中考年报.pdf,年报p10;文档核验:2016Q06逐题分析,考查的科学内容：“运动和相互作用”主题,0.7765,0.4123,A:77.6515%;B:4.539%;C:4.5781%;D:13.0465%;未选:1%,年报p10逐题分析未检索到明确典型错误表述；已核验为缺项,年报p10逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p10; original=2016广州中考.pdf#真题p2; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary,teaching_suggestion_summary"
YRO-C003-2016-07,2016,QPHY-C003-2016-07,7,SRC-C003-007,2016广州中考年报.pdf,年报p11;文档核验:2016Q07逐题分析,考查的科学内容：“能量”主题,0.7969,0.4992,A:2.7859%;B:79.6877%;C:16.2931%;D:1.1331%;未选:16%,年报p11逐题分析未检索到明确典型错误表述；已核验为缺项,年报p11逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,"document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p11; original=2016广州中考.pdf#真题p2; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:common_errors_summary,teaching_suggestion_summary"
YRO-C003-2016-08,2016,QPHY-C003-2016-08,8,SRC-C003-007,2016广州中考年报.pdf,年报p12;文档核验:2016Q08逐题分析,考查的科学内容：“物质”主题,0.5362,0.6818,A:13.3412%;B:17.0275%;C:53.6224%;D:15.8534%;未选:13%,错选“冰粒液化为雨滴” （2014 年中考题） 是冰箱制冷剂循环路线示意图，制 冷剂在冷冻室的管子里发生的物态变化名称是_______，此过程 ________（选填“吸热”、“放热”、“不吸放热”） 此题难度为0.622.当年不少学生填写的物态变化名称是对 的，如“升华”，“…,年报p12逐题分析未检索到明确教学建议表述；已核验为缺项,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p12; original=2016广州中考.pdf#真题p2; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页; 缺项确认:teaching_suggestion_summary
YRO-C003-2016-09,2016,QPHY-C003-2016-09,9,SRC-C003-007,2016广州中考年报.pdf,年报p14;文档核验:2016Q09逐题分析,考查的科学内容：“运动和相互作用”主题,0.7993,0.5629,A:8.2834%;B:3.9018%;C:79.929%;D:7.7674%;未选:10%,错误答案。从考试拿分这角度来分 析，快但全错，不如慢，做一题对一题最后得分还高。 平时的教学还可以拓展本题，让学生根据所给信息推测哪个加热棒的功率大？求两加热 棒的功率之比。 其实解答本题与以前做过相同热源加热的题目，本质是没有区别，只是呈现的情景不同， 分析方法是一样的（有关…,教学建议可参考2014 年中考分析报告 相关内容。 其实现在手机上就有不少好用的软件，可以帮助我们教学，如频闪照相，我们感觉离我 们很远，其实只要我们手机下载一个“motion shot”软件，就可以得到类似的频闪照片（有 兴趣的老师可以在市QQ 群向天河中学何加晖请教）。 1…,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p14; original=2016广州中考.pdf#真题p2; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页
YRO-C003-2016-10,2016,QPHY-C003-2016-10,10,SRC-C003-007,2016广州中考年报.pdf,年报p14;文档核验:2016Q10逐题分析,考查的科学内容：“能量”主题,0.6446,0.7458,A:8.0354%;B:12.3226%;C:14.9025%;D:64.46%;未选:9%,错选A， 14.3445% 的学生错选C，与今年第10 题得分情况，各选项人数分布百分比基本一致。  N O 3m M 3m P F＝3N F＝3N Q 15 / 52 （2014 年中考），用大小相等的拉力F，分别沿斜面和水平面拉木箱，拉力方向 和运动方向始终一致，运动时间t…,教学建议可参考2014 年中考分析报告 相关内容。 其实现在手机上就有不少好用的软件，可以帮助我们教学，如频闪照相，我们感觉离我 们很远，其实只要我们手机下载一个“motion shot”软件，就可以得到类似的频闪照片（有 兴趣的老师可以在市QQ 群向天河中学何加晖请教）。,0.95,reviewed,true,document_verified; reviewer=chatgpt_web; evidence=2016广州中考年报.pdf#p14; original=2016广州中考.pdf#真题p3; answer=2016广州中考答案.pdf#参考答案文件对应题号; 难度来自逐题页;区分度来自逐题页
