mapping_id,source_asset_type,source_stable_id,target_asset_type,target_stable_id,mapping_type,confidence,source_material_ids,evidence_locations,impact_scope,review_status,auto_apply_allowed,rollback_required,notes
MAP-C003-00001,curriculum_standard_item,CS-C003-1-1,knowledge_point,KPHY-C003-002,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00002,curriculum_standard_item,CS-C003-1-1-1,knowledge_point,KPHY-C003-003,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00003,curriculum_standard_item,CS-C003-1-1-2,knowledge_point,KPHY-C003-004,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00004,curriculum_standard_item,CS-C003-1-1-3,knowledge_point,KPHY-C003-005,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00005,curriculum_standard_item,CS-C003-1-1-3,knowledge_point,KPHY-C003-006,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00006,curriculum_standard_item,CS-C003-1-1-3,knowledge_point,KPHY-C003-007,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00007,curriculum_standard_item,CS-C003-1-1-4,knowledge_point,KPHY-C003-008,related,0.86,SRC-C003-001,课标p12,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00008,curriculum_standard_item,CS-C003-1-2,knowledge_point,KPHY-C003-009,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00009,curriculum_standard_item,CS-C003-1-2-1,knowledge_point,KPHY-C003-010,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00010,curriculum_standard_item,CS-C003-1-2-1,knowledge_point,KPHY-C003-011,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00011,curriculum_standard_item,CS-C003-1-2-1,knowledge_point,KPHY-C003-012,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00012,curriculum_standard_item,CS-C003-1-2-1,knowledge_point,KPHY-C003-013,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00013,curriculum_standard_item,CS-C003-1-2-2,knowledge_point,KPHY-C003-014,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00014,curriculum_standard_item,CS-C003-1-2-3,knowledge_point,KPHY-C003-015,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00015,curriculum_standard_item,CS-C003-1-3,knowledge_point,KPHY-C003-016,related,0.86,SRC-C003-001,课标p13-p14,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00016,curriculum_standard_item,CS-C003-1-3-1,knowledge_point,KPHY-C003-017,related,0.86,SRC-C003-001,课标p13,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00017,curriculum_standard_item,CS-C003-1-3-2,knowledge_point,KPHY-C003-018,related,0.86,SRC-C003-001,课标p13-p14,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00018,curriculum_standard_item,CS-C003-1-3-4,knowledge_point,KPHY-C003-019,related,0.86,SRC-C003-001,课标p14,curriculum_to_knowledge,pending_review,false,true,candidate mapping
MAP-C003-00019,curriculum_standard_item,CS-C003-2-1,knowledge_point,KPHY-C003-021,related,0.86,SRC-C003-001,课标p17-p18,curriculum_to_knowledge,pending_review,false,true,candidate mapping
