stable_id,parent_stable_id,title,subject,stage,region,year_range,exam_scope,source_material_ids,evidence_locations,common_question_types,knowledge_stable_ids,ability_dimensions,difficulty_band,frequency_weight,trend_status,review_status,production_eligible,notes
EPHY-CAND-001,,生活情境中的估测与单位判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,2016广州中考年报.pdf;2017广州中考年报.pdf;2022广州中考.pdf;2025广州中考年报.pdf,2016年报p2 Q1;2017年报p2 Q1;2022真题p1 Q1;2025年报p1-p2 Q10,选择题,KPHY-CAND-009;KPHY-CAND-007,APHY-CAND-001;APHY-CAND-002,easy-to-medium,0.85,stable,pending_review,false,candidate only
EPHY-CAND-002,,声音特性与非连续文本信息提取,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,2019广州中考.pdf;2024广州中考.pdf;2025广州中考.pdf;2023广州中考年报.pdf,2019真题p1 Q1;2024真题p1 Q2;2025真题p1 Q1;2023年报p2,选择题,KPHY-CAND-012,APHY-CAND-001,easy-to-medium,0.82,stable,pending_review,false,candidate only
EPHY-CAND-003,,物态变化与生活热现象判断,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,2020广州中考（含答案）.pdf;2024广州中考.pdf;2025广州中考.pdf,2020真题p1 Q3;2024真题p2 Q5;2025真题p2 Q4,选择题;填空题,KPHY-CAND-006;KPHY-CAND-016,APHY-CAND-002,easy-to-medium,0.75,stable,pending_review,false,candidate only
EPHY-CAND-004,,微观结构静电与电荷相互作用,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,2021广州中考.pdf;2023广州中考.pdf;2025广州中考.pdf,2021真题p1 Q2-Q4;2023真题p1 Q2;2025真题p1 Q2,选择题,KPHY-CAND-008;KPHY-CAND-014,APHY-CAND-002,easy-to-medium,0.78,stable,pending_review,false,candidate only
EPHY-CAND-005,,能源分类能量转化与效率,physics,junior_middle_school,Guangzhou,2021-2025,local_middle_school_entrance_physics,2021广州中考.pdf;2022广州中考.pdf;2024广州中考年报.pdf;2025广州中考年报.pdf,2021真题p1 Q1;2022真题p1 Q3;2024年报p1-p2;2025年报p1-p2,选择题;计算题,KPHY-CAND-019;KPHY-CAND-016;KPHY-CAND-003,APHY-CAND-001;APHY-CAND-002,medium,0.86,rising,pending_review,false,candidate only
EPHY-CAND-006,,力与运动状态惯性摩擦和做功,physics,junior_middle_school,Guangzhou,2016-2025,local_middle_school_entrance_physics,2016广州中考年报.pdf;2021广州中考.pdf;2025广州中考年报.pdf,2016年报p1主干知识;2021真题p2 Q7;2025年报p1-p2 Q7-Q12,选择题;计算题,KPHY-CAND-010;KPHY-CAND-015;KPHY-CAND-024,APHY-CAND-002,medium,0.90,stable,pending_review,false,candidate only
EPHY-CAND-007,,压强液体压强大气压强与流体压强,physics,junior_middle_school,Guangzhou,2019-2025,local_middle_school_entrance_physics,2019广州中考.pdf;2022广州中考.pdf;2024广州中考.pdf,2019真题p1 Q5;2022真题p2 Q6;2024真题p2 Q4,选择题;综合题,KPHY-CAND-011,APHY-CAND-002,medium,0.74,stable,pending_review,false,candidate only
EPHY-CAND-008,,浮力阿基米德原理与浮沉条件,physics,junior_middle_school,Guangzhou,2017-2024,local_middle_school_entrance_physics,2017广州中考答案.pdf;2023广州中考答案.pdf;2024广州中考年报.pdf,2017答案p2 Q20;2023答案p1-p2 Q17;2024年报p1 Q7,填空作图;实验探究;综合题,KPHY-CAND-011,APHY-CAND-002;APHY-CAND-003,medium-to-hard,0.72,stable,pending_review,false,candidate only
EPHY-CAND-009,,光的反射折射平面镜和光纤通信,physics,junior_middle_school,Guangzhou,2018-2025,local_middle_school_entrance_physics,2021广州中考-参考答案.pdf;2024广州中考.pdf;2025广州中考年报.pdf,2021答案p1 Q11;2024真题p1 Q1;2025年报p2 Q13,选择题;作图题,KPHY-CAND-013,APHY-CAND-002;APHY-CAND-004,medium,0.72,stable,pending_review,false,candidate only
EPHY-CAND-010,,凸透镜成像规律及应用,physics,junior_middle_school,Guangzhou,2018-2025,local_middle_school_entrance_physics,2021广州中考-参考答案.pdf;2025广州中考.pdf;2024广州中考年报.pdf,2021答案p1 Q11;2025真题p2 Q5;2024年报p1-p2,选择题;作图题;实验探究,KPHY-CAND-013,APHY-CAND-002;APHY-CAND-003,medium,0.70,stable,pending_review,false,candidate only
