subquestion_id,question_id,year,question_number,subquestion_number,question_type,estimated_score,source_file,page_or_location,stem_summary,primary_knowledge_id,primary_exam_point_id,ability_dimensions,confidence,review_status,production_eligible,notes
QPHY-C003-2016-01-S01,QPHY-C003-2016-01,2016,1,whole,choice,,2016广州中考.pdf,真题p1,1.历史上把图1 示意的长度定为1 英寸.1 英寸约为 A. 2.5km B. 2.5m C. 2.5dm D. 2.5cm,KPHY-C003-025,EPHY-C003-001,信息提取;科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-02-S01,QPHY-C003-2016-02,2016,2,whole,choice,,2016广州中考.pdf,真题p1,2.琴弦H 比琴弦L 每秒内振动次数多，推断此时H 比L 发出的声音 A.音调高 B.音调低 C.响度大 D.响度小,KPHY-C003-037,EPHY-C003-003,信息提取;科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-03-S01,QPHY-C003-2016-03,2016,3,whole,choice,,2016广州中考.pdf,真题p1,3.上层的粒子由下层的粒子构成，下列选项中正确描述物质结构的是,KPHY-C003-017,EPHY-C003-011,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-04-S01,QPHY-C003-2016-04,2016,4,whole,choice,,2016广州中考.pdf,真题p1,4.使用蓝牙耳机接听手机来电，信号传输示意图如图2. 蓝牙通信的电磁波 A.是蓝光 B.波长比手机通信的电磁波短 C.在真空中传播速度为340m/s D.在真空中传播速度比手机通信的电磁波小 图1 1 英寸 108 1010 1012 1014 频率/Hz 可 见 光 红外线 蓝牙耳机 手机 频率0.8~0.9×109Hz 手机通信 频率2.4~2.48×109Hz 蓝牙通信 无 线 电 波 图2 基地台 A. B. C. D. 原子 电子 原子核 原子核 电子 中子 原子…,KPHY-C003-017,EPHY-C003-011,科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-05-S01,QPHY-C003-2016-05,2016,5,whole,choice,,2016广州中考.pdf,真题p2,5.图3 所示，电源两端电压恒定.闭合开关，灯泡L1 比灯泡L2 亮，则 A.L1 的电阻比L2 的大 B.L1 两端电压比L2 大 C.若L1 灯丝烧断，L2 两端电压不变 D.若L2 灯丝烧断，通过L1 电流变大,KPHY-C003-065,EPHY-C003-031,模型建构;科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-06-S01,QPHY-C003-2016-06,2016,6,whole,choice,,2016广州中考.pdf,真题p2,6.图4 所示，无风条件下卡通造型的铝箔气球两次均向带电棒靠近但未接触，气球 A．不带电 B．带正电 C．带负电 D．带电情况无法判断,KPHY-C003-043,EPHY-C003-012,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-07-S01,QPHY-C003-2016-07,2016,7,whole,choice,,2016广州中考.pdf,真题p2,7.下列说法正确的是 A.内燃机是利用电能做功的机械 B.内燃机在做功冲程把内能转化为机械能 C.内燃机在压缩冲程把内能转化为机械能 D.随着技术的进步，内燃机的效率能达到100％,KPHY-C003-059,EPHY-C003-008,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-08-S01,QPHY-C003-2016-08,2016,8,whole,choice,,2016广州中考.pdf,真题p2,8.将杯中的液态氮（沸点为-196℃）倒入盛有奶浆的碗制作冰淇淋.观察到杯中液态氮沸腾， 杯外壁出现白霜，则 A.杯中液态氮放热 B.杯中液态氮温度不断上升 C.杯中液态氮不断吸热，温度保持-196℃ D.白霜是空气中水蒸气液化形成的 图5 所示，水平地面O 点两侧粗糙程度不同，物体一直受到沿水平方向3N 的力F.物体经过M 点开始计时，每经过相同时间，用虚线框记录物体的位置.物体在M O 段做匀速直线运动.完成,KPHY-C003-005,EPHY-C003-005,科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-09-S01,QPHY-C003-2016-09,2016,9,whole,choice,,2016广州中考.pdf,真题p2,9、10 题. 9. 物体在 A.OQ 段做匀速直线运动 B.MN 段的速度大于OP 段的 C.MN 段受到的摩擦力为3N D.OQ 段受到摩擦力大小等于F 图4 绝缘线 带负电 - - - - - - 绝缘线 带正电 + + + + + + 电源 图3 L1 L2 图5 N O 3m M 3m P F＝3N F＝3N Q,KPHY-C003-026,EPHY-C003-002,信息提取;数学运算,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-10-S01,QPHY-C003-2016-10,2016,10,whole,choice,,2016广州中考.pdf,真题p3,10.F 在MN、OP 段做功分别为WMN、WOP，功率分别为PMN、POP，则 A.WMN<WOP B.WMN>WOP C.PMN>POP D.PMN<POP,KPHY-C003-027,EPHY-C003-015,科学推理;数学运算,0.76,pending_review,false,candidate subquestion row
