issue_id,entity_type,entity_id,issue_type,issue_summary,severity,recommended_action,review_status,production_eligible,question_id,original_paper_file,original_paper_page,answer_source_file,answer_evidence_location,year_report_evidence_location,difficulty_value,discrimination_value,metric_review_summary,common_errors_review,teaching_suggestion_review,evidence_decision
QI-C003-0001,year_report_observation,YRO-C003-2016-01,year_report_metric_review_required,已文档核验2016Q01: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p2; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-01,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p2;文档核验:2016Q01逐题分析,0.9511,0.1632,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0002,year_report_observation,YRO-C003-2016-02,year_report_metric_review_required,已文档核验2016Q02: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-02,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p3;文档核验:2016Q02逐题分析,0.7406,0.5578,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0003,year_report_observation,YRO-C003-2016-03,year_report_metric_review_required,已文档核验2016Q03: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p4; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-03,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p4;文档核验:2016Q03逐题分析,0.6306,0.7562,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0004,year_report_observation,YRO-C003-2016-04,year_report_metric_review_required,已文档核验2016Q04: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p6; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-04,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p6;文档核验:2016Q04逐题分析,0.6624,0.6433,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0005,year_report_observation,YRO-C003-2016-05,year_report_metric_review_required,已文档核验2016Q05: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p9; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-05,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p9;文档核验:2016Q05逐题分析,0.5142,0.6821,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0006,year_report_observation,YRO-C003-2016-06,year_report_metric_review_required,已文档核验2016Q06: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p10; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-06,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p10;文档核验:2016Q06逐题分析,0.7765,0.4123,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0007,year_report_observation,YRO-C003-2016-07,year_report_metric_review_required,已文档核验2016Q07: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p11; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-07,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p11;文档核验:2016Q07逐题分析,0.7969,0.4992,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0008,year_report_observation,YRO-C003-2016-08,year_report_metric_review_required,已文档核验2016Q08: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p12; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-08,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p12;文档核验:2016Q08逐题分析,0.5362,0.6818,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0009,year_report_observation,YRO-C003-2016-09,year_report_metric_review_required,已文档核验2016Q09: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p14; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-09,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p14;文档核验:2016Q09逐题分析,0.7993,0.5629,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0010,year_report_observation,YRO-C003-2016-10,year_report_metric_review_required,已文档核验2016Q10: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p14; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-10,2016广州中考.pdf,真题p3,2016广州中考答案.pdf,参考答案文件对应题号,年报p14;文档核验:2016Q10逐题分析,0.6446,0.7458,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
