id,parent_id,wave,category,slice,status,depends_on,acceptance,verification,evidence_anchor,owner_role
REAL005A,REAL005,W0,真卷闭环,逐年来源与 adapter 覆盖,待办,REAL004,2015-2025 每年试卷与答案来源 hash 齐全 且每年 adapter 诊断可复跑,tools/run-real005-guangzhou-2015-2025-closure-standard.ps1 + tasks/real-guangzhou-closure-criteria.csv RG001 RG002,docs/evidence/20260512-real005-guangzhou-2015-2025-closure-standard-report.json,题库/导入负责人
REAL005B,REAL005,W0,真卷闭环,逐题结构化与审核覆盖,待办,REAL005A,每题题干 答案 来源区域 题图/表格/公式和审核 audit 满足 closure criteria 且缺口保持显式 not_closed,tools/run-real005-guangzhou-2015-2025-closure-standard.ps1 + RG003 RG004 RG005 RG006 RG007 RG008 RG009,docs/evidence/20260512-real005-guangzhou-2015-2025-closure-standard-report.json,题库/导入负责人
REAL005C,REAL005,W0,真卷闭环,真实题使用链与回滚隐私覆盖,待办,REAL005B,真实题抽样进入检索 题篮 导出预检 学情引用且 rollback privacy no-active-write 证据齐全,tools/run-real005-guangzhou-2015-2025-closure-standard.ps1 + RG010 RG011 RG012 RG013 RG014 RG015 RG016,docs/evidence/20260512-real005-guangzhou-2015-2025-closure-standard-report.json,题库/导入负责人
REAL005D,REAL005,W0,真卷闭环,闭环口径复核与对外文案收口,待办,REAL005C,只有全部 criteria 通过才允许改写 not_closed 口径 否则 README release card closure summary 保持诚实边界,closure report rerun + docs consistency review,docs/112_CurrentClosureStatus_20260609.md + docs/109_ReleaseGoNoGoCard.md,产品负责人
P001A,P001,W1,隔离机预演,安装向导与目录落点,待办,NS1308,隔离机完成安装向导并记录安装目录 数据目录 备份目录 服务状态和初始化日志,docs/templates/p001-live-pilot-release-checklist.md section 1 + isolated machine evidence template,docs/templates/p001-isolated-machine-evidence-template.md,试点支持负责人
P001B,P001,W1,隔离机预演,备份恢复演练,待办,P001A,隔离机生成 backup manifest verify 输出 restore drill 输出和回滚命令,docs/templates/p001-live-pilot-release-checklist.md section 2,docs/templates/p001-isolated-machine-evidence-template.md,试点支持负责人
P001C,P001,W1,隔离机预演,权限与审计实跑,待办,P001B,隔离机验证 teacher group_lead admin 分离 admin/internal fail-closed 和高风险 audit,docs/templates/p001-live-pilot-release-checklist.md section 3,docs/templates/p001-isolated-machine-evidence-template.md,管理员负责人
P001D,P001,W1,隔离机预演,四入口基础 smoke,待办,P001C,隔离机完成导入 组卷 成绩 分析四入口基本路径并记录耗时 卡点 接管点,docs/templates/p001-live-pilot-release-checklist.md section 4,docs/templates/p001-isolated-machine-evidence-template.md,试点支持负责人
P001E,P001,W1,现场事实,打印与导出实物验证,待办,P001D,学生版 教师版 答案版导出在目标打印链路上留有实物或等价打印预检证据,printer artifact smoke + isolated machine evidence template,docs/templates/p001-isolated-machine-evidence-template.md,试点支持负责人
P001F,P001,W1,现场事实,学校网络访问验证,待办,P001D,目标网络下教师端访问 API health/readiness 和断网降级记录齐全,network smoke + isolated machine evidence template,docs/templates/p001-isolated-machine-evidence-template.md,试点支持负责人
